Item type,Authors,Title,Journal,Abstract,Abstract,Abstract,Abstract,Pages,Institution,Publisher,Proceedings title,Date published
Journal Article,"Waheed N,He X,Ikram M,Usman M,Hashmi SS,Usman M",Security and privacy in IoT using machine learning and blockchain: Threats and countermeasures,ACM Computing Surveys (CSUR),"Security and privacy of users have become significant concerns due to the involvement of the Internet of Things (IoT) devices in numerous applications. Cyber threats are growing at an explosive pace making the existing security and privacy measures inadequate. Hence, everyone on the Internet is a product for hackers. Consequently, Machine Learning (ML) algorithms are used to produce accurate outputs from large complex databases, where the generated outputs can be used to predict and detect vulnerabilities in IoT-based systems. Furthermore, Blockchain (BC) techniques are becoming popular in modern IoT applications to solve security and privacy issues. Several studies have been conducted on either ML algorithms or BC techniques. However, these studies target either security or privacy issues using ML algorithms or BC techniques, thus posing a need for a combined survey on efforts made in recent years addressing both security and privacy issues using ML algorithms and BC techniques. In this article, we provide a summary of research efforts made in the past few years, from 2008 to 2019, addressing security and privacy issues using ML algorithms and BC techniques in the IoT domain. First, we discuss and categorize various security and privacy threats reported in the past 12 years in the IoT domain. We then classify the literature on security and privacy efforts based on ML algorithms and BC techniques in the IoT domain. Finally, we identify and illuminate several challenges and future research directions using ML algorithms and BC techniques to address security and privacy issues in the IoT domain.",2020,53,6,1-37,,"ACM New York, NY, USA",,2020
Journal Article,"Yang Q,Zhao Y,Huang H,Xiong Z,Kang J,Zheng Z",Fusing blockchain and AI with metaverse: A survey,IEEE Open Journal of the Computer Society,"Metaverse as the latest buzzword has attracted great attention from both industry and academia. Metaverse seamlessly integrates the real world with the virtual world and allows avatars to carry out rich activities including creation, display, entertainment, social networking, and trading. Thus, it is promising to build an exciting digital world and to transform a better physical world through the exploration of the metaverse. In this survey, we dive into the metaverse by discussing how Blockchain and Artificial Intelligence (AI) fuse with it through investigating the state-of-the-art studies across the metaverse components, digital currencies, AI applications in the virtual world, and blockchain-empowered technologies. Further exploitation and interdisciplinary research on the fusion of AI and Blockchain towards metaverse will definitely require collaboration from both academia and industries. We wish that our survey can help researchers, engineers, and educators build an open, fair, and rational future metaverse.",2022,3,,122-136,,IEEE,,2022
Journal Article,"Salah K,Rehman MH,Nizamuddin N,Al-Fuqaha A",Blockchain for AI: Review and open research challenges,IEEE Access,"Recently, artificial intelligence (AI) and blockchain have become two of the most trending and disruptive technologies. Blockchain technology has the ability to automate payment in cryptocurrency and to provide access to a shared ledger of data, transactions, and logs in a decentralized, secure, and trusted manner. Also with smart contracts, blockchain has the ability to govern interactions among participants with no intermediary or a trusted third party. AI, on the other hand, offers intelligence and decision-making capabilities for machines similar to humans. In this paper, we present a detailed survey on blockchain applications for AI. We review the literature, tabulate, and summarize the emerging blockchain applications, platforms, and protocols specifically targeting AI area. We also identify and discuss open research challenges of utilizing blockchain technologies for AI.",2019,7,,10127-10149,,IEEE,,2019
Journal Article,"Li D,Han D,Weng TH,Zheng Z,Li H,Liu H,Castiglione A,Li KC",Blockchain for federated learning toward secure distributed machine learning systems: a systemic survey,Soft Computing,"Federated learning (FL) is a promising decentralized deep learning technology, which allows users to update models cooperatively without sharing their data. FL is reshaping existing industry paradigms for mathematical modeling and analysis, enabling an increasing number of industries to build privacy-preserving, secure distributed machine learning models. However, the inherent characteristics of FL have led to problems such as privacy protection, communication cost, systems heterogeneity, and unreliability model upload in actual operation. Interestingly, the integration with Blockchain technology provides an opportunity to further improve the FL security and performance, besides increasing its scope of applications. Therefore, we denote this integration of Blockchain and FL as the Blockchain-based federated learning (BCFL) framework. This paper introduces an in-depth survey of BCFL and discusses the insights of such a new paradigm. In particular, we first briefly introduce the FL technology and discuss the challenges faced by such technology. Then, we summarize the Blockchain ecosystem. Next, we highlight the structural design and platform of BCFL. Furthermore, we present the attempts ins improving FL performance with Blockchain and several combined applications of incentive mechanisms in FL. Finally, we summarize the industrial application scenarios of BCFL.",2022,26,9,4423-4440,,Springer,,2022
Journal Article,"Zhu J,Cao J,Saxena D,Jiang S,Ferradi H","Blockchain-empowered federated learning: Challenges, solutions, and future directions",ACM Computing Surveys,"Federated learning is a privacy-preserving machine learning technique that trains models across multiple devices holding local data samples without exchanging them. There are many challenging issues in federated learning, such as coordinating participants’ activities, arbitrating their benefits, and aggregating models. Most existing solutions employ a centralized approach, in which a trustworthy central authority is needed for coordination. Such an approach incurs many disadvantages, including vulnerability to attacks, lack of credibility, and difficulty in calculating rewards. Recently, blockchain was identified as a potential solution for addressing the abovementioned issues. Extensive research has been conducted, and many approaches, methods, and techniques have been proposed. There is a need for a systematic survey to examine how blockchain can empower federated learning. Although there are many surveys on federated learning, few of them cover blockchain as an enabling technology. This work comprehensively surveys challenges, solutions, and future directions for blockchain-empowered federated learning (BlockFed). First, we identify the critical issues in federated learning and explain why blockchain provides a potential approach to addressing these issues. Second, we categorize existing system models into three classes: decoupled, coupled, and overlapped, according to how the federated learning and blockchain functions are integrated. Then we compare the advantages and disadvantages of these three system models, regard the disadvantages as challenging issues in BlockFed, and investigate corresponding solutions. Finally, we identify and discuss the future directions, including open problems in BlockFed.",2023,55,11,1-31,,"ACM New York, NY",,2023
Journal Article,"Liu Y,Yu FR,Li X,Ji H,Leung VC",Blockchain and machine learning for communications and networking systems,IEEE Communications Surveys & Tutorials,"Recently, with the rapid development of information and communication technologies, the infrastructures, resources, end devices, and applications in communications and networking systems are becoming much more complex and heterogeneous. In addition, the large volume of data and massive end devices may bring serious security, privacy, services provisioning, and network management challenges. In order to achieve decentralized, secure, intelligent, and efficient network operation and management, the joint consideration of blockchain and machine learning (ML) may bring significant benefits and have attracted great interests from both academia and industry. On one hand, blockchain can significantly facilitate training data and ML model sharing, decentralized intelligence, security, privacy, and trusted decision-making of ML. On the other hand, ML will have significant impacts on the development of blockchain in communications and networking systems, including energy and resource efficiency, scalability, security, privacy, and intelligent smart contracts. However, some essential open issues and challenges that remain to be addressed before the widespread deployment of the integration of blockchain and ML, including resource management, data processing, scalable operation, and security issues. In this paper, we present a survey on the existing works for blockchain and ML technologies. We identify several important aspects of integrating blockchain and ML, including overview, benefits, and applications. Then we discuss some open issues, challenges, and broader perspectives that need to be addressed to jointly consider blockchain and ML for communications and networking systems.",2020,22,2,1392-1431,,IEEE,,2020
Journal Article,Gong Y,Dynamic large language models on blockchains,arXiv preprint arXiv:2307. 10549,"Training and deploying the large language models requires a large mount of computational resource because the language models contain billions of parameters and the text has thousands of tokens. Another problem is that the large language models are static. They are fixed after the training process. To tackle these issues, in this paper, we propose to train and deploy the dynamic large language model on blockchains, which have high computation performance and are distributed across a network of computers. A blockchain is a secure, decentralized, and transparent system that allows for the creation of a tamper-proof ledger for transactions without the need for intermediaries. The dynamic large language models can continuously learn from the user input after the training process. Our method provides a new way to develop the large language models and also sheds a light on the next generation artificial intelligence systems.",2023,,,,,,,2023
Journal Article,"Gai Y,Zhou L,Qin K,Song D,Gervais A",Blockchain large language models,arXiv preprint arXiv:2304. 12749,"This paper presents a dynamic, real-time approach to detecting anomalous blockchain transactions. The proposed tool, BlockGPT, generates tracing representations of blockchain activity and trains from scratch a large language model to act as a real-time Intrusion Detection System. Unlike traditional methods, BlockGPT is designed to offer an unrestricted search space and does not rely on predefined rules or patterns, enabling it to detect a broader range of anomalies. We demonstrate the effectiveness of BlockGPT through its use as an anomaly detection tool for Ethereum transactions. In our experiments, it effectively identifies abnormal transactions among a dataset of 68M transactions and has a batched throughput of 2284 transactions per second on average. Our results show that, BlockGPT identifies abnormal transactions by ranking 49 out of 124 attacks among the top-3 most abnormal transactions interacting with their victim contracts. This work makes contributions to the field of blockchain transaction analysis by introducing a custom data encoding compatible with the transformer architecture, a domain-specific tokenization technique, and a tree encoding method specifically crafted for the Ethereum Virtual Machine (EVM) trace representation.",2023,,,,,,,2023
Journal Article,"Dai Y,Xu D,Maharjan S,Chen Z,He Q,Zhang Y",Blockchain and deep reinforcement learning empowered intelligent 5G beyond,IEEE network,"Blockchain and AI are promising techniques for next-generation wireless networks. Blockchain can establish a secure and decentralized resource sharing environment. AI can be explored to solve problems with uncertain, time-variant, and complex features. Both of these techniques have recently seen a surge in interest. The integration of these two techniques can further enhance the performance of wireless networks. In this article, we first propose a secure and intelligent architecture for next-generation wireless networks by integrating AI and blockchain into wireless networks to enable flexible and secure resource sharing. Then we propose a blockchain empowered content caching problem to maximize system utility, and develop a new caching scheme by utilizing deep reinforcement learning. Numerical results demonstrate the effectiveness of the proposed scheme.",2019,33,3,10-17,,IEEE,,2019
Conference Paper,"Mallouh AA,Abuzaghleh O,Qawaqneh Z",A hierarchy of deep reinforcement learning agents for decision making in blockchain nodes,,"Distributed P2P network applications are increasingly growing and it is expected to gain more attention in the future for the wide range of attractive features it offers. One of the popular applications of P2P networks is the blockchain technology and associated applications such as cryptocurrencies. The blockchain technology was developed to operate on a distributed environment of nodes without the need for a central authority. One of the challenging tasks facing applications that operate on P2P networks is the collective decision-making process between the distributed nodes for reaching a consensus between the peer nodes. In this paper, a framework is proposed to handle the problem of collective decision making between distributed peer nodes. The framework introduces the usage of distributed intelligent agents which will be trained by deep reinforcement learning. Three models have been developed and evaluated using randomly generated data. The best achieved result by the proposed framework was obtained by using Model 3, the overall accuracy of the model was 82.2%.",2021,,,197-202,IEEE,,IEEE EUROCON 2021-19th International Conference on Smart Technologies,2021
Journal Article,"Qu Y,Uddin MP,Gan C,Xiang Y,Gao L,Yearwood J",Blockchain-enabled federated learning: A survey,ACM Computing Surveys,"Federated learning (FL) has experienced a boom in recent years, which is jointly promoted by the prosperity of machine learning and Artificial Intelligence along with emerging privacy issues. In the FL paradigm, a central server and local end devices maintain the same model by exchanging model updates instead of raw data, with which the privacy of data stored on end devices is not directly revealed. In this way, the privacy violation caused by the growing collection of sensitive data can be mitigated. However, the performance of FL with a central server is reaching a bottleneck, while new threats are emerging simultaneously. There are various reasons, among which the most significant ones are centralized processing, data falsification, and lack of incentives. To accelerate the proliferation of FL, blockchain-enabled FL has attracted substantial attention from both academia and industry. A considerable number of novel solutions are devised to meet the emerging demands of diverse scenarios. Blockchain-enabled FL provides both theories and techniques to improve the performance of FL from various perspectives. In this survey, we will comprehensively summarize and evaluate existing variants of blockchain-enabled FL, identify the emerging challenges, and propose potentially promising research directions in this under-explored domain.",2022,55,4,1-35,,"ACM New York, NY",,2022
